"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"42" "H12_1" "H12" "Live_Bd" 1 0.139 "T0" 0 "9" "Bd" "Control" 0.1598 0.0147105404387466 -0.0208
"43" "A3_2" "A3" "2F_Bd" 2 0.164 "T0" 0 "1" "Bd" "2F" 0.1484 0.00512510162500868 0.0156
"44" "A4_2" "A4" "2F_Bd" 2 0.165 "T0" 0 "2" "Bd" "2F" 0.1484 0.00512510162500868 0.0166
"45" "A7_2" "A7" "2F_Jliv10_Bd" 2 0.156 "T0" 0 "1" "Bd" "2F_Jliv10" 0.1285 0.00822259758902934 0.0275
"46" "A8_2" "A8" "2F_Jliv10_Bd" 2 0.161 "T0" 0 "2" "Bd" "2F_Jliv10" 0.1285 0.00822259758902934 0.0325
"47" "A11_2" "A11" "2f_JlivBTP_Bd" 2 0.14 "T0" 0 "1" "Bd" "2f_JlivBTP" 0.1212 0.00594044517598546 0.0188
"48" "A12_2" "A12" "2f_JlivBTP_Bd" 2 0.159 "T0" 0 "2" "Bd" "2f_JlivBTP" 0.1212 0.00594044517598546 0.0378
"49" "B3_2" "B3" "2F_Bd" 2 0.165 "T0" 0 "3" "Bd" "2F" 0.1484 0.00512510162500868 0.0166
"50" "B4_2" "B4" "2F_Bd" 2 0.168 "T0" 0 "4" "Bd" "2F" 0.1484 0.00512510162500868 0.0196
"51" "B7_2" "B7" "2F_Jliv10_Bd" 2 0.16 "T0" 0 "3" "Bd" "2F_Jliv10" 0.1285 0.00822259758902934 0.0315
"52" "B8_2" "B8" "2F_Jliv10_Bd" 2 0.16 "T0" 0 "4" "Bd" "2F_Jliv10" 0.1285 0.00822259758902934 0.0315
"53" "B11_2" "B11" "2f_JlivBTP_Bd" 2 0.149 "T0" 0 "3" "Bd" "2f_JlivBTP" 0.1212 0.00594044517598546 0.0278
"54" "B12_2" "B12" "2f_JlivBTP_Bd" 2 0.156 "T0" 0 "4" "Bd" "2f_JlivBTP" 0.1212 0.00594044517598546 0.0348
"55" "C3_2" "C3" "2F_Bd" 2 0.161 "T0" 0 "5" "Bd" "2F" 0.1484 0.00512510162500868 0.0126
"56" "C4_2" "C4" "2F_Bd" 2 0.154 "T0" 0 "6" "Bd" "2F" 0.1484 0.00512510162500868 0.00559999999999999
"57" "C7_2" "C7" "2F_Jliv10_Bd" 2 0.155 "T0" 0 "5" "Bd" "2F_Jliv10" 0.1285 0.00822259758902934 0.0265
"58" "C8_2" "C8" "2F_Jliv10_Bd" 2 0.148 "T0" 0 "6" "Bd" "2F_Jliv10" 0.1285 0.00822259758902934 0.0195
"59" "C11_2" "C11" "2f_JlivBTP_Bd" 2 0.145 "T0" 0 "5" "Bd" "2f_JlivBTP" 0.1212 0.00594044517598546 0.0238
"60" "C12_2" "C12" "2f_JlivBTP_Bd" 2 0.154 "T0" 0 "6" "Bd" "2f_JlivBTP" 0.1212 0.00594044517598546 0.0328
"61" "D3_2" "D3" "2F_Bd" 2 0.169 "T0" 0 "7" "Bd" "2F" 0.1484 0.00512510162500868 0.0206
"62" "D4_2" "D4" "2F_Bd" 2 0.169 "T0" 0 "8" "Bd" "2F" 0.1484 0.00512510162500868 0.0206
"63" "D7_2" "D7" "2F_Jliv10_Bd" 2 0.156 "T0" 0 "7" "Bd" "2F_Jliv10" 0.1285 0.00822259758902934 0.0275
"64" "D8_2" "D8" "2F_Jliv10_Bd" 2 0.149 "T0" 0 "8" "Bd" "2F_Jliv10" 0.1285 0.00822259758902934 0.0205
"65" "D11_2" "D11" "2f_JlivBTP_Bd" 2 0.144 "T0" 0 "7" "Bd" "2f_JlivBTP" 0.1212 0.00594044517598546 0.0228
"66" "D12_2" "D12" "2f_JlivBTP_Bd" 2 0.149 "T0" 0 "8" "Bd" "2f_JlivBTP" 0.1212 0.00594044517598546 0.0278
"67" "E3_2" "E3" "2F_Bd" 2 0.154 "T0" 0 "9" "Bd" "2F" 0.1484 0.00512510162500868 0.00559999999999999
"68" "E4_2" "E4" "2F_Bd" 2 0.16 "T0" 0 "10" "Bd" "2F" 0.1484 0.00512510162500868 0.0116
"69" "E7_2" "E7" "2F_Jliv10_Bd" 2 0.152 "T0" 0 "9" "Bd" "2F_Jliv10" 0.1285 0.00822259758902934 0.0235
"70" "E8_2" "E8" "2F_Jliv10_Bd" 2 0.145 "T0" 0 "10" "Bd" "2F_Jliv10" 0.1285 0.00822259758902934 0.0165
"71" "E11_2" "E11" "2f_JlivBTP_Bd" 2 0.148 "T0" 0 "9" "Bd" "2f_JlivBTP" 0.1212 0.00594044517598546 0.0268
"72" "E12_2" "E12" "2f_JlivBTP_Bd" 2 0.149 "T0" 0 "10" "Bd" "2f_JlivBTP" 0.1212 0.00594044517598546 0.0278
"73" "G1_2" "G1" "37E_Bd" 2 0.135 "T0" 0 "1" "Bd" "37E" 0.1284 0.00298886823619466 0.00659999999999999
"74" "G2_2" "G2" "37E_Bd" 2 0.135 "T0" 0 "3" "Bd" "37E" 0.1284 0.00298886823619466 0.00659999999999999
"75" "G3_2" "G3" "37E_Bd" 2 0.136 "T0" 0 "4" "Bd" "37E" 0.1284 0.00298886823619466 0.0076
"76" "G4_2" "G4" "37E_Bd" 2 0.137 "T0" 0 "5" "Bd" "37E" 0.1284 0.00298886823619466 0.0086
"77" "G5_2" "G5" "37E_Bd" 2 0.137 "T0" 0 "6" "Bd" "37E" 0.1284 0.00298886823619466 0.0086
"78" "G6_2" "G6" "37E_Bd" 2 0.143 "T0" 0 "7" "Bd" "37E" 0.1284 0.00298886823619466 0.0146
"79" "G7_2" "G7" "37E_Bd" 2 0.139 "T0" 0 "8" "Bd" "37E" 0.1284 0.00298886823619466 0.0106
"80" "G8_2" "G8" "37E_Bd" 2 0.141 "T0" 0 "9" "Bd" "37E" 0.1284 0.00298886823619466 0.0126
"81" "G9_2" "G9" "37E_Bd" 2 0.139 "T0" 0 "10" "Bd" "37E" 0.1284 0.00298886823619466 0.0106
"82" "G10_2" "G10" "37E_Bd" 2 0.14 "T0" 0 "2" "Bd" "37E" 0.1284 0.00298886823619466 0.0116
"83" "G11_2" "G11" "Live_Bd" 2 0.154 "T0" 0 "3" "Bd" "Control" 0.1598 0.0147105404387466 -0.0058
"84" "G12_2" "G12" "Live_Bd" 2 0.151 "T0" 0 "5" "Bd" "Control" 0.1598 0.0147105404387466 -0.0088
"85" "A3_3" "A3" "37E_20D_Bd" 3 0.13 "T0" 0 "1" "Bd" "37E_20D" 0.124 0.00221108319357027 0.00600000000000001
"86" "A4_3" "A4" "37E_20D_Bd" 3 0.127 "T0" 0 "2" "Bd" "37E_20D" 0.124 0.00221108319357027 0.003
"87" "A7_3" "A7" "37E_2F_Bd" 3 0.124 "T0" 0 "1" "Bd" "37E_2F" 0.1125 0.00250554939639549 0.0115
"88" "A8_3" "A8" "37E_2F_Bd" 3 0.127 "T0" 0 "2" "Bd" "37E_2F" 0.1125 0.00250554939639549 0.0145
"89" "A11_3" "A11" "37E_54D_Bd" 3 0.147 "T0" 0 "1" "Bd" "37E_54D" 0.1278 0.00175119007154183 0.0192
"90" "A12_3" "A12" "37E_54D_Bd" 3 0.15 "T0" 0 "2" "Bd" "37E_54D" 0.1278 0.00175119007154183 0.0222
"91" "B3_3" "B3" "37E_20D_Bd" 3 0.132 "T0" 0 "3" "Bd" "37E_20D" 0.124 0.00221108319357027 0.00800000000000001
"92" "B4_3" "B4" "37E_20D_Bd" 3 0.128 "T0" 0 "4" "Bd" "37E_20D" 0.124 0.00221108319357027 0.004
"93" "B7_3" "B7" "37E_2F_Bd" 3 0.127 "T0" 0 "3" "Bd" "37E_2F" 0.1125 0.00250554939639549 0.0145
"94" "B8_3" "B8" "37E_2F_Bd" 3 0.129 "T0" 0 "4" "Bd" "37E_2F" 0.1125 0.00250554939639549 0.0165
"95" "B11_3" "B11" "37E_54D_Bd" 3 0.149 "T0" 0 "3" "Bd" "37E_54D" 0.1278 0.00175119007154183 0.0212
"96" "B12_3" "B12" "37E_54D_Bd" 3 0.152 "T0" 0 "4" "Bd" "37E_54D" 0.1278 0.00175119007154183 0.0242
"97" "C3_3" "C3" "37E_20D_Bd" 3 0.134 "T0" 0 "5" "Bd" "37E_20D" 0.124 0.00221108319357027 0.01
"98" "C4_3" "C4" "37E_20D_Bd" 3 0.13 "T0" 0 "6" "Bd" "37E_20D" 0.124 0.00221108319357027 0.00600000000000001
"99" "C7_3" "C7" "37E_2F_Bd" 3 0.123 "T0" 0 "5" "Bd" "37E_2F" 0.1125 0.00250554939639549 0.0105
"100" "C8_3" "C8" "37E_2F_Bd" 3 0.123 "T0" 0 "6" "Bd" "37E_2F" 0.1125 0.00250554939639549 0.0105
"101" "C11_3" "C11" "37E_54D_Bd" 3 0.146 "T0" 0 "5" "Bd" "37E_54D" 0.1278 0.00175119007154183 0.0182
"102" "C12_3" "C12" "37E_54D_Bd" 3 0.151 "T0" 0 "6" "Bd" "37E_54D" 0.1278 0.00175119007154183 0.0232
"103" "D3_3" "D3" "37E_20D_Bd" 3 0.138 "T0" 0 "7" "Bd" "37E_20D" 0.124 0.00221108319357027 0.014
"104" "D4_3" "D4" "37E_20D_Bd" 3 0.131 "T0" 0 "8" "Bd" "37E_20D" 0.124 0.00221108319357027 0.00700000000000001
"105" "D7_3" "D7" "37E_2F_Bd" 3 0.118 "T0" 0 "7" "Bd" "37E_2F" 0.1125 0.00250554939639549 0.00549999999999999
"106" "D8_3" "D8" "37E_2F_Bd" 3 0.12 "T0" 0 "8" "Bd" "37E_2F" 0.1125 0.00250554939639549 0.00749999999999999
"107" "D11_3" "D11" "37E_54D_Bd" 3 0.15 "T0" 0 "7" "Bd" "37E_54D" 0.1278 0.00175119007154183 0.0222
"108" "D12_3" "D12" "37E_54D_Bd" 3 0.157 "T0" 0 "8" "Bd" "37E_54D" 0.1278 0.00175119007154183 0.0292
