"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"40" "G10_1" "G10" "20D_JlivBTP_Bd" 1 0.142 "T0" 0 "2" "Bd" "20D_JlivBTP" 0.1281 0.00347850542618522 0.0139
"41" "H11_1" "H11" "Live_Bd" 1 0.138 "T0" 0 "7" "Bd" "Control" 0.1417 0.00988882646671933 -0.00369999999999998
"42" "H12_1" "H12" "Live_Bd" 1 0.137 "T0" 0 "9" "Bd" "Control" 0.1417 0.00988882646671933 -0.00469999999999998
"43" "A3_2" "A3" "2F_Bd" 2 0.14 "T0" 0 "1" "Bd" "2F" 0.1323 0.00149443411809733 0.00770000000000001
"44" "A4_2" "A4" "2F_Bd" 2 0.14 "T0" 0 "2" "Bd" "2F" 0.1323 0.00149443411809733 0.00770000000000001
"45" "A7_2" "A7" "2F_Jliv10_Bd" 2 0.139 "T0" 0 "1" "Bd" "2F_Jliv10" 0.1123 0.00279085809185793 0.0267
"46" "A8_2" "A8" "2F_Jliv10_Bd" 2 0.14 "T0" 0 "2" "Bd" "2F_Jliv10" 0.1123 0.00279085809185793 0.0277
"47" "A11_2" "A11" "2f_JlivBTP_Bd" 2 0.145 "T0" 0 "1" "Bd" "2f_JlivBTP" 0.1312 0.00605162971621878 0.0138
"48" "A12_2" "A12" "2f_JlivBTP_Bd" 2 0.147 "T0" 0 "2" "Bd" "2f_JlivBTP" 0.1312 0.00605162971621878 0.0158
"49" "B3_2" "B3" "2F_Bd" 2 0.142 "T0" 0 "3" "Bd" "2F" 0.1323 0.00149443411809733 0.00969999999999999
"50" "B4_2" "B4" "2F_Bd" 2 0.143 "T0" 0 "4" "Bd" "2F" 0.1323 0.00149443411809733 0.0107
"51" "B7_2" "B7" "2F_Jliv10_Bd" 2 0.142 "T0" 0 "3" "Bd" "2F_Jliv10" 0.1123 0.00279085809185793 0.0297
"52" "B8_2" "B8" "2F_Jliv10_Bd" 2 0.143 "T0" 0 "4" "Bd" "2F_Jliv10" 0.1123 0.00279085809185793 0.0307
"53" "B11_2" "B11" "2f_JlivBTP_Bd" 2 0.156 "T0" 0 "3" "Bd" "2f_JlivBTP" 0.1312 0.00605162971621878 0.0248
"54" "B12_2" "B12" "2f_JlivBTP_Bd" 2 0.143 "T0" 0 "4" "Bd" "2f_JlivBTP" 0.1312 0.00605162971621878 0.0118
"55" "C3_2" "C3" "2F_Bd" 2 0.143 "T0" 0 "5" "Bd" "2F" 0.1323 0.00149443411809733 0.0107
"56" "C4_2" "C4" "2F_Bd" 2 0.144 "T0" 0 "6" "Bd" "2F" 0.1323 0.00149443411809733 0.0117
"57" "C7_2" "C7" "2F_Jliv10_Bd" 2 0.146 "T0" 0 "5" "Bd" "2F_Jliv10" 0.1123 0.00279085809185793 0.0337
"58" "C8_2" "C8" "2F_Jliv10_Bd" 2 0.143 "T0" 0 "6" "Bd" "2F_Jliv10" 0.1123 0.00279085809185793 0.0307
"59" "C11_2" "C11" "2f_JlivBTP_Bd" 2 0.146 "T0" 0 "5" "Bd" "2f_JlivBTP" 0.1312 0.00605162971621878 0.0148
"60" "C12_2" "C12" "2f_JlivBTP_Bd" 2 0.145 "T0" 0 "6" "Bd" "2f_JlivBTP" 0.1312 0.00605162971621878 0.0138
"61" "D3_2" "D3" "2F_Bd" 2 0.142 "T0" 0 "7" "Bd" "2F" 0.1323 0.00149443411809733 0.00969999999999999
"62" "D4_2" "D4" "2F_Bd" 2 0.144 "T0" 0 "8" "Bd" "2F" 0.1323 0.00149443411809733 0.0117
