well_ID sampleID Plate OD Timepoint HoursElapsed
F10 20D_JlivBTP 1 0.134 T0 0
F11 SterileMedium 1 0.146 T0 0
F12 SterileMedium 1 0.144 T0 0
G1 20D_JlivBTP_Bd 1 0.135 T0 0
G2 20D_JlivBTP_Bd 1 0.129 T0 0
G3 20D_JlivBTP_Bd 1 0.132 T0 0
G4 20D_JlivBTP_Bd 1 0.132 T0 0
G5 20D_JlivBTP_Bd 1 0.136 T0 0
G6 20D_JlivBTP_Bd 1 0.138 T0 0
G7 20D_JlivBTP_Bd 1 0.137 T0 0
G8 20D_JlivBTP_Bd 1 0.138 T0 0
G9 20D_JlivBTP_Bd 1 0.144 T0 0
G10 20D_JlivBTP_Bd 1 0.142 T0 0
H11 Live_Bd 1 0.138 T0 0
H12 Live_Bd 1 0.137 T0 0
A1 2F 2 0.132 T0 0
A2 2F 2 0.132 T0 0
A3 2F_Bd 2 0.14 T0 0
A4 2F_Bd 2 0.14 T0 0
A5 2F_Jliv10 2 0.113 T0 0
A6 2F_Jliv10 2 0.115 T0 0
A7 2F_Jliv10_Bd 2 0.139 T0 0
A8 2F_Jliv10_Bd 2 0.14 T0 0
A9 2f_JlivBTP 2 0.13 T0 0
A10 2f_JlivBTP 2 0.134 T0 0
A11 2f_JlivBTP_Bd 2 0.145 T0 0
A12 2f_JlivBTP_Bd 2 0.147 T0 0
B1 2F 2 0.133 T0 0
B2 2F 2 0.131 T0 0
B3 2F_Bd 2 0.142 T0 0
B4 2F_Bd 2 0.143 T0 0
B5 2F_Jliv10 2 0.113 T0 0
B6 2F_Jliv10 2 0.115 T0 0
B7 2F_Jliv10_Bd 2 0.142 T0 0
B8 2F_Jliv10_Bd 2 0.143 T0 0
B9 2f_JlivBTP 2 0.13 T0 0
B10 2f_JlivBTP 2 0.133 T0 0
B11 2f_JlivBTP_Bd 2 0.156 T0 0
B12 2f_JlivBTP_Bd 2 0.143 T0 0
C1 2F 2 0.134 T0 0
C2 2F 2 0.133 T0 0
C3 2F_Bd 2 0.143 T0 0
C4 2F_Bd 2 0.144 T0 0
C5 2F_Jliv10 2 0.111 T0 0
C6 2F_Jliv10 2 0.113 T0 0
C7 2F_Jliv10_Bd 2 0.146 T0 0
C8 2F_Jliv10_Bd 2 0.143 T0 0
C9 2f_JlivBTP 2 0.128 T0 0
C10 2f_JlivBTP 2 0.135 T0 0
C11 2f_JlivBTP_Bd 2 0.146 T0 0
C12 2f_JlivBTP_Bd 2 0.145 T0 0
D1 2F 2 0.129 T0 0
D2 2F 2 0.133 T0 0
D3 2F_Bd 2 0.142 T0 0
D4 2F_Bd 2 0.144 T0 0
D5 2F_Jliv10 2 0.108 T0 0
D6 2F_Jliv10 2 0.114 T0 0
D7 2F_Jliv10_Bd 2 0.236 T0 0
D8 2F_Jliv10_Bd 2 0.143 T0 0
D9 2f_JlivBTP 2 0.145 T0 0
D10 2f_JlivBTP 2 0.128 T0 0
D11 2f_JlivBTP_Bd 2 0.149 T0 0
D12 2f_JlivBTP_Bd 2 0.141 T0 0
